date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
2016-01-11,97015,21206,42110,30328,2936,21521,1.5058104416852613,-1.8850922107426422
2016-01-12,105267,23129,46185,32850,3092,22973,1.5058118880989224,-1.9285831592465537
2016-01-13,112400,24310,49376,34352,2839,25693,1.6221565839811571,-1.8917146119141968
2016-01-14,109541,24300,48771,33586,2624,24466,1.5481107533160341,-1.8972527893687074
2016-01-15,104346,23189,46059,32259,2722,23211,1.5193050047382177,-1.9420355304313985
2016-01-16,79278,18582,36870,23366,2047,16875,1.3625797826649118,-2.2142407857691788
2016-01-17,76746,16883,35641,23277,1922,15736,1.6026476953088851,-2.2475204110299427
2016-01-18,106896,21986,46714,33242,2988,23759,1.7473235668794911,-1.9346061561645627
2016-01-19,111479,20737,46274,36454,3572,25032,2.0089729905073943,-1.6680194744709982
2016-01-20,114972,23009,48416,36077,3343,26944,1.8024527713259837,-1.7665136890871895
2016-01-21,113654,22654,48073,36137,3177,26078,1.8295079816754816,-1.7294233935324985
2016-01-22,106398,21590,46137,33445,3015,23684,1.7970788928144334,-1.8478845312521714
2016-01-23,72962,16453,32000,22302,2308,16228,1.3698610240961326,-2.0989018719231569
2016-01-24,67538,14661,28473,21628,2367,14961,1.4401240783319635,-1.8821549880216488
2016-01-25,100642,20188,41449,32920,3160,22977,1.7625077008893091,-1.6525660415389209
2016-01-26,107505,20637,44292,35105,3046,24924,1.9414399331532253,-1.6477058826255411
2016-01-27,109466,21092,45377,34902,3070,25984,1.92531105575893,-1.7887232571749552
2016-01-28,110710,19294,44894,36780,3018,25901,2.2372125375196537,-1.6143405640955462
2016-01-29,99419,18595,41262,32291,2973,22750,1.9966253937019185,-1.6743047732101213
2016-01-30,71637,14948,30850,22121,2374,16199,1.5877018874585216,-1.8598523161881033
2016-01-31,67330,15816,30004,20765,1822,14627,1.2472865005263993,-2.0114492393809291
2016-02-01,109986,21993,46449,35321,3132,24976,1.8341988990907427,-1.7165501628342421
2016-02-02,112781,20944,46871,36115,3094,26566,2.042671195545001,-1.5481759884204571
2016-02-03,113857,21645,47907,36286,3030,26542,2.0082849555106579,-1.5970046295747395
2016-02-04,121498,23490,51369,38650,3325,28031,1.9817099875671,-1.7525099860922155
2016-02-05,113624,21499,47525,36175,3074,26754,2.0287008034002016,-1.7381947652358869
2016-02-06,77972,16725,34522,23335,2753,17268,1.5350933681094312,-2.0540139693057515
2016-02-07,69997,15436,31256,21159,2270,15251,1.4975598962619987,-2.0498036509432045
2016-02-08,104228,20789,44851,32563,3002,23673,1.862635760511905,-1.7277003997872287
2016-02-09,111070,21755,47294,34880,3060,25709,1.9330755388038012,-1.6932767423701114
2016-02-10,116393,22335,48884,37513,3130,26596,1.9924557326441055,-1.6183146298666793
2016-02-11,120950,24073,51741,37920,3107,27897,1.8681331135318906,-1.7365125984838807
2016-02-12,119078,23989,49987,37116,2970,28835,1.8221006412525658,-1.8035959668671764
2016-02-13,88213,19780,38013,27318,2351,20391,1.4489406336861061,-1.875088055946172
2016-02-14,81148,20541,37243,24068,2294,17407,1.0006839362691324,-1.9809060020195555
2016-02-15,112452,24690,48485,35631,3287,24913,1.5216145563006025,-1.8261156373047625
2016-02-16,124157,25605,51766,39060,3554,29582,1.7123158589415803,-1.7636475840862447
2016-02-17,124564,25001,51833,39602,3667,29313,1.7882413873150786,-1.6407136260849986
